Datetime,Month,Year,DAM Price (€/MWh)
1/10/2018 0:00,10,2018,67.21
1/10/2018 1:00,10,2018,60.5
1/10/2018 2:00,10,2018,63.68
1/10/2018 3:00,10,2018,71.62
1/10/2018 4:00,10,2018,72.86
1/10/2018 5:00,10,2018,76.94
1/10/2018 6:00,10,2018,80.48
1/10/2018 7:00,10,2018,89.71
1/10/2018 8:00,10,2018,127.4
1/10/2018 9:00,10,2018,101.16
1/10/2018 10:00,10,2018,100
1/10/2018 11:00,10,2018,89.11
1/10/2018 12:00,10,2018,88.04
1/10/2018 13:00,10,2018,80.95
1/10/2018 14:00,10,2018,75.02
1/10/2018 15:00,10,2018,75.21
1/10/2018 16:00,10,2018,82.6
1/10/2018 17:00,10,2018,89.69
1/10/2018 18:00,10,2018,96.1
1/10/2018 19:00,10,2018,100
1/10/2018 20:00,10,2018,79.87
1/10/2018 21:00,10,2018,70.51
1/10/2018 22:00,10,2018,63.89
1/10/2018 23:00,10,2018,62
2/10/2018 0:00,10,2018,56.94
2/10/2018 1:00,10,2018,49.32
2/10/2018 2:00,10,2018,46.3
2/10/2018 3:00,10,2018,46.06
2/10/2018 4:00,10,2018,48.31
2/10/2018 5:00,10,2018,59.64
2/10/2018 6:00,10,2018,68.38
2/10/2018 7:00,10,2018,72.14
2/10/2018 8:00,10,2018,81.3
2/10/2018 9:00,10,2018,79.15
2/10/2018 10:00,10,2018,72.22
2/10/2018 11:00,10,2018,73.28
2/10/2018 12:00,10,2018,71.67
2/10/2018 13:00,10,2018,70.13
2/10/2018 14:00,10,2018,68.45
2/10/2018 15:00,10,2018,67.23
2/10/2018 16:00,10,2018,71.42
2/10/2018 17:00,10,2018,81.18
2/10/2018 18:00,10,2018,96.18
2/10/2018 19:00,10,2018,103.64
2/10/2018 20:00,10,2018,88.68
2/10/2018 21:00,10,2018,75.12
2/10/2018 22:00,10,2018,69.91
2/10/2018 23:00,10,2018,64.87
3/10/2018 0:00,10,2018,62.29
3/10/2018 1:00,10,2018,63.34
3/10/2018 2:00,10,2018,60.6
3/10/2018 3:00,10,2018,70.7
3/10/2018 4:00,10,2018,70.7
3/10/2018 5:00,10,2018,75.15
3/10/2018 6:00,10,2018,82.67
3/10/2018 7:00,10,2018,83.74
