Date,Gas Price,Carbon Price,Coal Price,Oil Price,Distillate Price,Exchange Rate (£:€)
1/10/2018,71.85,21.37,101.8,475.888,734.5,1.1226
2/10/2018,71.9,20.98,101.2,474.88,742,1.1231
3/10/2018,70.55,21.18,101.65,483.224,742.25,1.1249
4/10/2018,70.475,21.34,100.8,473.648,744.75,1.1289
5/10/2018,71.1,22.16,101.35,471.296,741.75,1.1342
6/10/2018,71.7625,22.16,101.35,471.296,741.75,1.1342
7/10/2018,71.7625,22.16,101.35,471.296,741.75,1.1342
8/10/2018,71.375,22.16,101.3,469.896,736,1.1342
9/10/2018,71.75,20.79,100.8,476,744.75,1.1405
10/10/2018,67.2125,19.46,99.9,465.304,739.25,1.1435
11/10/2018,65.5,19.87,99.1,449.456,721.5,1.143
12/10/2018,60.325,19.87,99.1,450.408,718,1.143
13/10/2018,66.3625,19.87,99.1,450.408,718,1.143
14/10/2018,66.3625,19.87,99.1,450.408,718,1.143
15/10/2018,66.3,18.58,99.1,452.368,715.75,1.1358
16/10/2018,67.75,19.29,99.05,455.896,715.5,1.1416
17/10/2018,67.225,19.27,99.3,448.28,711.25,1.1371
18/10/2018,65.2,19.74,99.7,444.024,713.75,1.1384
19/10/2018,66.0375,19.71,100.5,446.768,714.75,1.1361
20/10/2018,67.15,19.71,100.5,446.768,714.75,1.1361
21/10/2018,67.15,19.71,100.5,446.768,714.75,1.1361
22/10/2018,68.15,19,100.35,447.048,716.25,1.1309
23/10/2018,65.425,19.23,100.4,428.064,702.5,1.135
24/10/2018,64.675,19.61,100.35,426.552,700,1.1334
25/10/2018,65.25,19.08,100.4,430.584,706.75,1.1295
26/10/2018,64.775,18.28,100.2,434.672,713.5,1.1276
27/10/2018,61.6,18.28,100.2,434.672,713.5,1.1276
28/10/2018,61.6,18.28,100.2,434.672,713.5,1.1276
29/10/2018,63.25,16.68,99.2,433.104,711.5,1.1263
30/10/2018,65,16.02,98.7,425.096,701.75,1.1217
31/10/2018,63.9,16.36,97.55,422.632,709.25,1.1252
1/11/2018,62.05,15.62,95.35,408.184,673.5,1.1341
2/11/2018,61.35,17.08,96.1,407.848,667.75,1.138
3/11/2018,62.025,17.08,96.1,407.848,667.75,1.138
4/11/2018,62.025,17.08,96.1,407.848,667.75,1.138
5/11/2018,61.65,17.23,94.7,409.752,671.75,1.1424
6/11/2018,60.1875,17.57,93.25,403.928,664.75,1.1453
7/11/2018,60.2125,18.62,93.25,403.592,676,1.1441
8/11/2018,62.9125,19.56,93.25,395.64,669.75,1.1473
9/11/2018,61.55,19.56,93.25,393.008,656.5,1.1473
10/11/2018,61,19.56,93.25,393.008,656.5,1.1473
