Date,time,GU_400270,GU_400271,GU_400272,GU_400324,GU_400325,GU_400480,GU_400500,GU_400530,GU_400540,GU_400762,GU_400850,GU_400930,GU_500040,GU_500130,GU_500131,GU_500140,GU_500822,GU_500823
1/10/2018,0:00:00,0,0,0,247,245,347,415,390,411,0,435,442,407.05,0,237,93,175,175
1/10/2018,0:30:00,0,0,0,247,245,347,415,391.75,411,0,435,442,407,0,237,93,175,175
1/10/2018,1:00:00,0,0,0,247,245,347,415,393,411.067,0,435,442,407,0,237,93,175,175
1/10/2018,1:30:00,0,0,0,247,245,349.95,415,393,415,0,435,442,407,0,237,93,175,175
1/10/2018,2:00:00,0,0,0,247,245,350,415,393,415,0,435,442,407,0,237,93,175,175
1/10/2018,2:30:00,0,0,0,247,245,350,415,393,415,0,435,445.383,407,0,237,93,175,175
1/10/2018,3:00:00,0,0,0,247,245,350,415,393,415,0,435.45,449,407,0,237,93,175,175
1/10/2018,3:30:00,0,0,0,247,245,350,415,393,415,0,438,449,407,0,237,93,175,175
1/10/2018,4:00:00,0,0,0,247,245,350,415,393,415,0,438,449,407,0,237,93,175,175
1/10/2018,4:30:00,0,0,0,247,245,350,415,393,415,0,438,449,407,0,237,93,175,175
1/10/2018,5:00:00,0,0,0,247,245,350,415,392.267,415,0,438,449,407,0,237,93,175,175
1/10/2018,5:30:00,0,0,0,247,245,350,415,389,415,0,438,449,407,0,237,93,175,175
1/10/2018,6:00:00,0,0,0,247,245,350,415,387.167,415,0,438,449,407,0,237,93,175,175
1/10/2018,6:30:00,0,0,0,247,245,350,415,387,415,0,438,449,407,0,237,93,175,175
1/10/2018,7:00:00,0,0,0,247,245,350,415,387,415,0,438,449,407,0,237,93,175,175
1/10/2018,7:30:00,0,0,0,247,245,350,415,387,415,0,438,449,407,0,237,93,175,175
1/10/2018,8:00:00,0,0,0,247,245,350,415,387,415,0,438,449,407,0,237,93,175,175
1/10/2018,8:30:00,0,0,0,247,245,350,415,387,415,0,438,449,407,0,237,93,175,175
1/10/2018,9:00:00,0,0,0,247,245,350,415,387,415,0,438,449,407,0,237,93,175,175
1/10/2018,9:30:00,0,0,0,247,245,350,415,387,415,0,438,449,407,0,237,93,175,175
1/10/2018,10:00:00,0,0,0,247,245,350,415,387,415,0,438,449,407,0,237,93,175,175
1/10/2018,10:30:00,0,0,0,247,245,347.35,415,387,409.7,0,436.9,446.65,407,0,237,93,175,175
1/10/2018,11:00:00,0,0,0,247,245,347,415,387,409,0,434.367,446,407,0,237,93,175,175
1/10/2018,11:30:00,0,0,0,247,245,344.667,415,387,405.5,0,434,445.267,407,0,237,93,175,175
1/10/2018,12:00:00,0,0,0,247,245,343,415,387,403,0,434,442,407,0,237,93,175,175
1/10/2018,12:30:00,0,0,0,247,245,343,415,387,402.433,0,434,442,407,0,237,93,175,175
1/10/2018,13:00:00,0,0,0,247,245,343,415,387,401,0,434,442,407,0,237,93,175,175
1/10/2018,13:30:00,0,0,0,247,245,343,415,387,401,0,432.2,440.65,407,0,237,93,175,175
1/10/2018,14:00:00,0,0,0,247,245,343,415,386.65,401,0,430,439,407,0,237,93,175,175
1/10/2018,14:30:00,0,0,0,247,245,343,415,384,401,0,430,439,407,0,237,93,175,175
1/10/2018,15:00:00,0,0,0,247,245,343,415,384,401,0,430,439,407,0,237,93,175,175
1/10/2018,15:30:00,0,0,0,247,245,338.9,415,384,397.583,0,430,439,407,0,237,93,175,175
1/10/2018,16:00:00,0,0,0,247,245,337,415,384,396,0,430,439,407,0,237,93,175,175
1/10/2018,16:30:00,0,0,0,247,245,337,415,384,396,0,430,439,407,0,237,93,175,175
1/10/2018,17:00:00,0,0,0,247,245,337,415,384,396,0,430,437.2,407,0,237,93,175,175
1/10/2018,17:30:00,0,0,0,247,245,334.133,415,384,396,0,430,435,407,0,237,93,175,175
1/10/2018,18:00:00,0,0,0,247,245,333,415,384,396,0,430,435,407,0,237,93,175,175
1/10/2018,18:30:00,0,0,0,247,245,333,415,384,396,0,430,435,407,0,237,93,175,175
1/10/2018,19:00:00,0,0,0,247,245,333,415,384,396,0,430,435,407,0,237,93,175,175
1/10/2018,19:30:00,0,0,0,247,245,333,415,384,396,0,430,435,407,0,237,93,175,175
1/10/2018,20:00:00,0,0,0,247,245,333,415,384,396,0,430,435,407,0,237,93,175,175
1/10/2018,20:30:00,0,0,0,247,245,333.083,415,384,396.1,0,430,435,407,0,237,93,175,175
1/10/2018,21:00:00,0,0,0,247,245,334,415,384,398,0,430,435,407,0,237,93,175,175
1/10/2018,21:30:00,0,0,0,247,245,334,415,384,398,0,430,435,407,0,237,93,175,175
1/10/2018,22:00:00,0,0,0,247,245,334,415,384,398,0,430,435,407,0,237,93,175,175
1/10/2018,22:30:00,0,0,0,247,245,334,415,382.9,398,0,430,435,407,0,237,93,175,175
1/10/2018,23:00:00,0,0,0,247,245,334,415,382,398,0,430,435,407,0,237,93,175,175
1/10/2018,23:30:00,0,0,0,247,245,334,415,382,398,0,430,435,407,0,237,93,175,175
2/10/2018,0:00:00,0,0,0,247,245,334,415,382,398,0,430,435,401.917,0,234.967,93,175,175
2/10/2018,0:30:00,0,0,0,247,245,334,415,382,398,0,430,435,402,0,235,93,175,175
2/10/2018,1:00:00,0,0,0,247,245,331.5,415,382,396.333,0,430,435,402,0,235,93,175,175
2/10/2018,1:30:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,2:00:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,2:30:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,3:00:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,3:30:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,4:00:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,4:30:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,5:00:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,5:30:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,6:00:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,6:30:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,7:00:00,0,0,0,247,245,328,415,382,394,0,430,435,402,0,235,93,175,175
2/10/2018,7:30:00,0,0,0,247,245,328,415,382,394,0,430,434.917,402,0,235,93,175,175
2/10/2018,8:00:00,0,0,0,247,245,328,415,382,394,0,430,430,402,0,235,93,175,175
2/10/2018,8:30:00,0,0,0,247,245,328,415,382,394,0,430,430,402,0,235,93,175,175
2/10/2018,9:00:00,0,0,0,247,245,328,415,382,394,0,430,430,402,0,235,93,175,175
2/10/2018,9:30:00,0,0,0,247,245,328,415,383.567,394,0,430,430,402,0,235,93,175,175
2/10/2018,10:00:00,0,0,0,247,245,328,415,384,394,0,430,430,402,0,235,93,175,175
2/10/2018,10:30:00,0,0,0,247,245,328,415,384,394,0,430,430,402,0,235,93,175,175
2/10/2018,11:00:00,0,0,0,247,245,328,415,384,394,0,430,430,402,0,235,93,175,175
2/10/2018,11:30:00,0,0,0,247,245,328,415,384,394,0,430,430,402,0,235,93,175,175
2/10/2018,12:00:00,0,0,0,247,245,328,415,384,394,0,430,430,402,0,235,93,175,175
2/10/2018,12:30:00,0,0,0,247,245,328,415,384,394,0,430,430,402,0,235,93,175,175
