Datetime,DAWF,CWF,AWO,DADF,CDF,ADO,DANDF,CNDF,ANDO
1/10/2018 0:00,801,884,895,3068,3048,3150,2267,2164,2255
1/10/2018 0:30,801,884,752,3068,3048,3085,2267,2164,2333
1/10/2018 1:00,722,733,614,2902,2885,3001,2180,2152,2387
1/10/2018 1:30,722,733,608,2902,2885,2947,2180,2152,2339
1/10/2018 2:00,638,687,627,2813,2792,2887,2175,2105,2260
1/10/2018 2:30,638,687,577,2813,2792,2854,2175,2105,2277
1/10/2018 3:00,571,587,586,2756,2737,2807,2185,2150,2221
1/10/2018 3:30,571,587,611,2756,2737,2809,2185,2150,2198
1/10/2018 4:00,545,546,617,2776,2760,2813,2231,2214,2196
1/10/2018 4:30,545,546,587,2776,2760,2838,2231,2214,2251
1/10/2018 5:00,534,518,569,2926,2919,2929,2392,2401,2360
1/10/2018 5:30,534,518,551,2926,2919,3017,2392,2401,2466
1/10/2018 6:00,493,522,553,3404,3416,3268,2911,2894,2715
1/10/2018 6:30,493,522,548,3404,3416,3581,2911,2894,3033
1/10/2018 7:00,391,441,559,4200,4212,4043,3809,3771,3484
1/10/2018 7:30,391,441,566,4200,4212,4409,3809,3771,3843
1/10/2018 8:00,257,251,460,4629,4639,4669,4372,4388,4209
1/10/2018 8:30,257,251,398,4629,4639,4796,4372,4388,4398
1/10/2018 9:00,175,163,346,4779,4785,4849,4604,4622,4503
1/10/2018 9:30,175,163,343,4779,4785,4896,4604,4622,4553
1/10/2018 10:00,186,296,346,4784,4782,4875,4598,4486,4529
1/10/2018 10:30,186,296,377,4784,4782,4856,4598,4486,4479
1/10/2018 11:00,282,475,490,4779,4781,4857,4497,4306,4367
1/10/2018 11:30,282,475,571,4779,4781,4854,4497,4306,4283
1/10/2018 12:00,466,694,794,4793,4783,4850,4327,4089,4056
1/10/2018 12:30,466,694,1026,4793,4783,4857,4327,4089,3831
1/10/2018 13:00,723,1007,1227,4680,4667,4807,3957,3660,3580
1/10/2018 13:30,723,1007,1442,4680,4667,4721,3957,3660,3279
1/10/2018 14:00,982,1289,1422,4621,4626,4720,3639,3337,3298
1/10/2018 14:30,982,1289,1427,4621,4626,4687,3639,3337,3260
1/10/2018 15:00,1221,1569,1607,4662,4682,4704,3441,3113,3097
1/10/2018 15:30,1221,1569,1901,4662,4682,4729,3441,3113,2828
1/10/2018 16:00,1405,2049,2061,4794,4840,4770,3389,2791,2709
1/10/2018 16:30,1405,2049,2256,4794,4840,4906,3389,2791,2650
1/10/2018 17:00,1540,2208,2388,4943,4992,4996,3403,2784,2608
1/10/2018 17:30,1540,2208,2539,4943,4992,5098,3403,2784,2559
1/10/2018 18:00,1684,2278,2609,4880,4927,5076,3196,2649,2467
1/10/2018 18:30,1684,2278,2537,4880,4927,5036,3196,2649,2499
